链接,等级,亮点,出售剩余时间,公示期截止时间,门派,综合实力,人物评分,召唤灵评分,装备评分,历史门派,历史角色,昵称,造型,仙玉数,总金币数,月饼粽子食用量,气血上限,物理伤害,法术伤害,速度,物理防御,法术防御,治疗强度,魔法上限,物理暴击,法术暴击,物理抗暴,法术抗暴,封印命中,抵抗封印,物理暴击伤害,法术暴击伤害,物理抵抗,法术抵抗,气血恢复效果,当前加点方案,永久助战,成就点数,称谓,,
"https://my-oppo.cbg.163.com/cgi/mweb/equip/335/202306072101716-335-KFYOLSPOZAON?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700856063620pcPBU&tag=user",115,       同价位超越67.42%角色     满11段8红神宠特技x1满阶门派法宝满级阵法x2,6天6时,,月宫,53611,27439,26172,9266,狮驼岭，花果山,虎头怪，杀破狼,过客他哥,龙太子,61,645,79,4651,2841,554,1089,1216,1245,224,2353,2353,1%,0%,0%,2%,2311,2319,28,29,0,0,0,体质：116魔力：115力量：736耐力：115敏捷：116,阎罗王（天地）、观音菩萨（天地）、蝎子精（天地）、铁扇公主（天地）、孙悟空（天地）、汤圆（天地）、法明长老（天地）、牛魔王（天地）、惠岸行者（天地）、孙婆婆（天地）、司药御侍（天地）、飞霞（天地）、红孩儿（天地）、大鹏王（天地）、猪八戒（天）、西海龙王（天）、百花羞（天）、镇元子（天）、小白龙（天）、星宿神君（天）、大当家（天）,1201,竞技场·救死扶伤、江湖小虾、竞技场·百胜、考古者·古迹烟尘、竞技场·百战、剑会群雄·千胜、剑会群雄·精英二级、剑会群雄·助人为乐、地煞·履水吐焰、剑会群雄·嗜血、为人师表、月华尊者、竞技场·嗜血、八斗之才、梦幻迷城·先锋二级、剑会群雄·慈悲为怀、剑会群雄·惊奇、精灵小助手·窥径、亿万热爱·青春梦幻,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://my-vivo.cbg.163.com/cgi/mweb/equip/347/202311192001716-347-PT5JHKMVO3OR?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700857406530g-kvs&tag=user",115,       同价位超越95.84%角色     满11段神兽x1特技x1满阶门派法宝满级阵法x1,,25/11/2023 20:55,花果山,54552,27935,26617,9636,大唐官府，月宫，花果山,剑侠客，龙太子,奈洛,龙太子,0,"79,018",54,5561,2797,596,1065,1117,1372,226,2241,3%,0%,0%,0%,0,2317,28,0,0,46,38,体质：115魔力：115力量：744耐力：115敏捷：115,孙悟空（⭐ ⭐ ⭐ ）、红孩儿（⭐ ⭐ ⭐ ）、李天王（⭐ ⭐ ⭐ ）、蝎子精（⭐ ⭐ ⭐ ）、唐僧（⭐ ⭐ ⭐ ）、飞霞（⭐ ⭐ ⭐ ）、地藏菩萨（⭐ ⭐ ）、酒肉和尚（⭐ ）、阎罗王（天地）、北海龙子（天地）、万圣公主（天地）、西海龙王（天地）、汤圆（天地）、法明长老（天地）、小白龙（天地）、老鼠精（天地）、观音菩萨（天地）、猪八戒（天地）、铁扇公主（天地）、九灵元圣（天地）、菩提老祖（天地）、金箍棒灵（天地）、牛魔王（天地）、惠岸行者（天地）、空度禅师（天地）、大鹏王（天地）、黄袍怪（天）、星宿神君（天）、大当家（天）、百花羞（天）、镇元子、孙婆婆、杨戬、沙和尚、太白金星,1213,江湖小虾、竞技场·小试牛刀、擂台争霸·勇士、渔家乐·在水一方、剑会群雄·显赫、剑会群雄·勇者一级、渔歌子·海天阔处、为人师表、地煞·履水吐焰、剑会群雄·嗜血、竞技场·百胜、剑会群雄·救死扶伤、竞技场·百战、剑会群雄·助人为乐、梦幻迷城·新秀三级、精灵小助手·小成、剑会群雄·百胜、八斗之才、搅海帅首,,
"https://my-vivo.cbg.163.com/cgi/mweb/equip/351/202311190101716-351-XKSXEAZDZHMR?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700857406530g-kvs&tag=user",115,特技x3逆满法宝x1满级阵法x2,13天21时,,花果山,48661,26152,22509,8333,方寸山，大唐官府，月宫,剑侠客，逍遥生,清秋ヾ,龙太子,0,"960,475",51,5024,2589,497,1020,977,1296,232,2248,0%,0%,0%,0%,27,2300,0,0,0,0,15,体质：115魔力：115力量：740耐力：116敏捷：115,牛魔王（天地）、铁扇公主（天地）、惠岸行者（天地）、北海龙子（天地）、小白龙（天地）、西海龙王（天地）、汤圆（天地）、百花羞（天）、北海龙王（天）、九灵元圣（天）、星宿神君（天）、大鹏王（天）、金角大王、北海龙女、银角大王,1352,地煞·御风神行、江湖小虾、竞技场·小试牛刀、渔家乐·在水一方、剑会群雄·崇拜、梦幻迷城·先锋二级、竞技场·十胜、渔家傲·愿者上钩、精灵小助手·窥径、剑会群雄·救死扶伤、考古者·古迹烟尘、竞技场·百战、剑会群雄·精英三级、剑会群雄·助人为乐、厚德树人、临江仙·逍遥渔父、竞技场·助人为乐、剑会群雄·封印高手、剑会群雄·百胜、定风波·河豚克星、八斗之才、剑会群雄·小试牛刀、搅海帅首,,
"https://my-vivo.cbg.163.com/cgi/mweb/equip/365/202311102001716-365-L6B1MX49HS9K?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700857406530g-kvs&tag=user",115,       同价位超越98.68%角色            门派排名第13名     特技x2满级阵法x1,12天11时,,大唐官府,50927,27725,23202,8710,狮驼岭，魔王寨，龙宫，大唐官府，方寸山，阴曹地府，化生寺，月宫，小雷音,杀破狼，神天兵，逍遥生，剑侠客，龙太子，羽灵神,星辰°,逍遥生,5,"77,500",51,4847,2578,547,1089,1178,1136,223,2319,1%,0%,0%,0%,0,2310,0,31,0,0,43,体质：115魔力：115力量：741耐力：115敏捷：115,黄袍怪（⭐ ⭐ ）、百花羞（⭐ ⭐ ）、阎罗王（天地）、孙悟空（天地）、青狮王（天地）、唐僧（天地）、九灵元圣（天地）、菩提老祖（天地）、万圣公主（天）、北海龙子（天）、西海龙王（天）、青莲仙女（天）、小白龙（天）、老鼠精（天）、杨戬（天）、红孩儿（天）、李天王（天）、九头虫（天）、猪八戒（天）、铁扇公主（天）、金箍棒灵（天）、牛魔王（天）、惠岸行者（天）、地藏菩萨（天）、飞霞（天）、大鹏王（天）、杏林仙、玉兔精、嫦娥、法明长老、哪吒、银角大王、孙婆婆、司药御侍、星宿神君、白无常、观音菩萨、蝎子精、北海龙女、沙和尚、北海龙王、太白金星、空度禅师,1469,瑶池蜃境·1层通关、江湖小虾、竞技场·小试牛刀、剑会群雄·显赫、剑会群雄·勇者一级、梦幻竞猜·见时知几、地煞·履水吐焰、擂台争霸·战将、剑会群雄·嗜血、精灵小助手·窥径、擂台争霸·幕后英雄、飞骑御使、剑会群雄·封印有术、竞技场·百胜、剑会群雄·救死扶伤、竞技场·百战、诲人不倦、剑会群雄·治疗高手、梦幻迷城·新秀三级、剑会群雄·百胜、八斗之才、亿万热爱·青春梦幻,,
"https://my-vivo.cbg.163.com/cgi/mweb/equip/354/202309151901716-354-UNYPEMFEQQQE?view_loc=search_cond%7Ctag_key%3A%7B%22is_from_ad_reco%22%3A%200,%20%22tag%22%3A%20%22user%22%7D&reco_request_id=1700857406530g-kvs&tag=user",115,       同价位超越98.70%角色     满11段8红神宠特技x2满级阵法x1,11天19时,,花果山,51896,28779,23117,9705,大唐官府，月宫，花果山,剑侠客，漠少君,天使爱掉毛,龙太子,197,"35,406",48,5180,2803,597,983,1010,1399,321,2629,0%,0%,0%,0%,18,2300,0,62,25,0,31,体质：115魔力：115力量：738耐力：115敏捷：115,阎罗王（天地）、汤圆（天地）、铁扇公主（天地）、菩提老祖（天地）、百花羞（天地）、西海龙王（天）、星宿神君（天）,1107,渔家乐·在水一方、武林高手、梦幻竞猜·见时知几、剑会群雄·崇拜、六星地煞·移山覆海、为人师表、竞技场·嗜血、如鱼水·浪里白条、福地戍卫、精灵小助手·窥径、竞技场·救死扶伤、竞技场·百胜、剑会群雄·救死扶伤、竞技场·百战、倚马七纸、剑会群雄·精英三级、剑会群雄·助人为乐、竞技场·助人为乐、梦幻迷城·新秀二级、剑会群雄·百胜、剑会群雄·小试牛刀,,
